ARC Effects Big Green,$40.59,$123.00
ARC Effects Klone V2,$42.49,$128.75
ARC Effects Soothsayer,$41.02,$124.31
Bearfoot FX Honey Bee Overdrive,$43.31,$131.23
Blackout Effectors Musket Fuzz Pedal V2,$44.75,$135.60
Bogner Ecstasy Blue Overdrive,$52.91,$160.34
Catalinbread Belle Epoch,$44.22,$134.01
Catalinbread Dirty Little Secret MKIII,$35.81,$108.53
Catalinbread Echorec,$45.17,$136.88
Catalinbread Galileo MKII,$37.85,$114.70
Catalinbread RAH,$37.40,$113.33
Catalinbread Sabbra Cadabra,$39.27,$119.01
Catalinbread Semaphore Tap Tempo,$57.82,$175.20
Chase Bliss Audio Warped Vinyl,$76.29,$231.18
Darkglass Electronics Duality Dual Fuzz Engine,$52.51,$159.11
Darkglass Electronics Microtubes B3K Bass Overdrive,$50.40,$152.74
Death By Audio Fuzz War,$33.17,$100.51
Death By Audio Supersonic Fuzz Gun,$53.29,$161.48
Diamond Memory Lane Jr,$55.80,$169.10
Diamond Pedals CPR-1 Compressor Pedal,$42.46,$128.66
Diamond Tremolo,$47.32,$143.39
Dr. Scientist BitQuest,$57.26,$173.52
Dr. Scientist Cosmichorus ,$60.11,$182.16
Dr. Scientist The Elements ,$48.05,$145.61
Dr. Scientist Tremolessence ,$41.49,$125.74
Dunlop 535Q Crybaby Multi-Wah Pedal,$17.68,$53.59
Dunlop Germanium Fuzz Face Mini - FFM2,$19.68,$59.64
Dunlop Jimi Hendrix Fuzz Face Mini - FFM3,$29.84,$90.42
Dunlop Rotovibe,$29.43,$89.19
Earthquaker Devices Afterneath,$54.11,$163.98
Earthquaker Devices Arpandroid,$43.19,$130.87
EarthQuaker Devices Bit Commander,$36.65,$111.06
EarthQuaker Devices Cloven Hoof,$40.26,$122.00
EarthQuaker Devices Dispatch Master,$41.80,$126.66
Earthquaker Devices Grand Orbiter Phaser,$38.03,$115.24
EarthQuaker Devices Grand Orbiter V2,$42.99,$130.27
EarthQuaker Devices Hoof Fuzz,$38.88,$117.81
Earthquaker Devices Organizer,$33.77,$102.35
Earthquaker Devices Palisades,$53.79,$162.99
Electro Harmonix 360 Nano Looper,$30.52,$92.49
Electro Harmonix 45000 Looper,$105.30,$319.08
Electro Harmonix B9 Organ Machine,$48.30,$146.38
Electro Harmonix Bass Micro Synthesizer Pedal,$56.97,$172.65
Electro Harmonix C9 Organ Machine,$53.76,$162.92
Electro Harmonix Cathedral Stereo Reverb,$45.25,$137.12
Electro Harmonix Deluxe Electric Mistress Flanger,$28.57,$86.57
Electro Harmonix Deluxe Memory Boy,$34.86,$105.64
Electro Harmonix Deluxe Memory Man Delay,$44.88,$136.00
Electro Harmonix Freeze Sound Retainer,$24.75,$74.99
Electro Harmonix Holy Grail Max,$34.30,$103.95
Electro Harmonix Holy Grail Reverb Nano,$22.25,$67.42
Electro Harmonix Holy Stain,$19.83,$60.08
Electro Harmonix Memory Boy Analog Delay,$29.12,$88.24
Electro Harmonix Memory Man Delay Pedal w/ Hazarai,$36.73,$111.30
Electro Harmonix Micro POG,$43.64,$132.23
Electro Harmonix Micro Synthesizer Pedal,$57.57,$174.47
Electro Harmonix Pitch Fork,$32.17,$97.49
Electro Harmonix POG2 Polyphonic Octave Generator,$63.74,$193.16
Electro Harmonix Ravish,$47.28,$143.29
Electro Harmonix Stereo Electric Mistress,$23.14,$70.11
Electro Harmonix Superego Synth Engine,$43.98,$133.26
Electro Harmonix V256 Vocoder Pedal,$39.50,$119.70
Empress Buffer +,$27.41,$83.06
Empress Compressor,$53.59,$162.39
Empress Effects ParaEq w/ Boost,$59.16,$179.28
Empress Nebulus,$61.00,$184.86
Empress Tape Delay,$55.48,$168.11
Empress Vintage Modified Superdelay,$74.82,$226.74
Eventide H9 Stompbox,$98.04,$297.08
Eventide PitchFactor,$41.20,$124.85
Eventide Space Reverb,$101.43,$307.37
Fairfield Circuitry Meet Maude Analog Delay,$71.28,$216.00
FuzzHugger AB-Synth Deluxe,$37.24,$112.86
Ibanez ES2 Echo Shifter Delay,$28.72,$87.04
Ibanez TS-808 Tube Screamer Overdrive Pedal,$42.81,$129.74
Ibanez TS808HW Hand Wired Tube Screamer,$61.36,$185.94
ISP Decimator G String II Noise Reduction Pedal,$51.45,$155.92
ISP Technologies Decimator II Noise Reduction Pedal,$37.21,$112.75
J. Rockett Audio Designs Allan Holdsworth Overdrive,$51.56,$156.24
J. Rockett Audio Designs Archer,$43.94,$133.16
J. Rockett Audio Designs Tim Pierce Overdrive,$56.47,$171.12
Jetter Gear Dharma Overdrive,$59.16,$179.28
Jetter Gear Traindrive,$59.16,$179.28
Jetter GS124,$50.97,$154.44
JHS Angry Charlie Distortion,$37.86,$114.72
JHS Colour Box,$92.02,$278.84
JHS Double Barrel V3 Dual Overdrive,$65.41,$198.22
JHS Moonshine Overdrive,$43.20,$130.92
JHS Pedals Alpine Reverb,$53.95,$163.48
JHS Pedals Emperor Analog Chorus/Vibrato,$60.94,$184.68
JHS Pedals Firefly Fuzz,$44.61,$135.19
JHS Pedals Morning Glory,$43.31,$131.24
JHS Pedals Panther Cub Delay,$74.83,$226.75
JHS Pedals Twin Twelve,$44.13,$133.73
